Date,HDFC,BAJFINANCE,SBIN,TITAN,HDFCBANK,HEROMOTOCO,INFY,KOTAKBANK,ONGC,RELIANCE,TATASTEEL,LT,M&M,HINDUNILVR,NESTLEIND,ASIANPAINT,ITC,SUNPHARMA*,ICICIBANK,INDUSINDBANK,AXISBANK,HCLTECH,BHARTIARTL,MARUTI,ULTRACEMCO,TCS,NTPC,TECHM,POWERGRID,BAJAJ-AUTO
1991-01-02,,,,,,,,,,107.5,,,,,,,,,,,,,,,,,,,,
1991-01-03,,,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,
1991-01-07,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,
1991-01-09,,,,,,,,,,102.5,,,,,,,,,,,,,,,,,,,,
1991-01-11,,,,,,,,,,108.75,,,,,,,,,,,,,,,,,,,,
1991-01-14,,,,,,,,,,103.75,,,,,,,,,,,,,,,,,,,,
1991-01-23,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
1991-01-24,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,
1991-01-25,,,,,,,,,,91.25,,,,,,,,,,,,,,,,,,,,
1991-01-31,,,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,
1991-02-01,,,,,,,,,,106.25,,,,,,,,,,,,,,,,,,,,
1991-02-04,,,,,,,,,,113.75,,,,,,,,,,,,,,,,,,,,
1991-02-05,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
1991-02-06,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
1991-02-07,,,,,,,,,,113.75,,,,,,,,,,,,,,,,,,,,
1991-02-08,,,,,,,,,,113.75,,,,,,,,,,,,,,,,,,,,
1991-02-11,,,,,,,,,,108.75,,,,,,,,,,,,,,,,,,,,
1991-02-13,,,,,,,,,,106.25,,,,,,,,,,,,,,,,,,,,
1991-02-14,,,,,,,,,,111.25,,,,,,,,,,,,,,,,,,,,
1991-02-15,,,,,,,,,,113.75,,,,,,,,,,,,,,,,,,,,
1991-02-19,,,,,,,,,,133.75,,,,,,,,,,,,,,,,,,,,
1991-02-20,,,,,,,,,,133.75,,,,,,,,,,,,,,,,,,,,
1991-02-21,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,
1991-02-22,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,
1991-02-26,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
1991-02-27,,,,,,,,,,157.5,,,,,,,,,,,,,,,,,,,,
1991-02-28,,,,,,,,,,158.75,,,,,,,,,,,,,,,,,,,,
1991-03-04,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,
1991-03-05,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,
1991-03-07,,,,,,,,,,127.5,,,,,,,,,,,,,,,,,,,,
1991-03-08,,,,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,
1991-03-11,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,
1991-03-12,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,
1991-03-13,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
1991-03-15,,,,,,,,,,131.5,,,,,,,,,,,,,,,,,,,,
1991-03-18,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,
